representation_id	priority	strands	word	roles
braid:98036447526a796c8f89c010e81af3850f62df59425f06a92fd2b76d3db7cc58	0	1		ladder-benchmark,replay-verified-evidence-start,test-fixture
braid:7746cc6e8f6f73a16304405201fc08187bd8bbed7edc2bbb50c2a562ea58289a	0	2	-1,-1,-1	bundled-knot-table,replay-verified-evidence-start,test-fixture
braid:e7c15a9b13e8d0ec34ddb999fc36c0823fb2c0e46c526c59aff8b23072506951	0	2	1,1,1	ladder-benchmark,replay-verified-evidence-start,test-fixture
braid:14d66dcf71cf605d4aa24fa1bfbf2e90ad7fcb66edf5345b9cc15ae11558a7d5	0	2	1,1,1,1,1	ladder-benchmark,replay-verified-evidence-start,test-fixture
braid:b6cae10db89cad9003f4508675a5c05dea7fa2b47b10b213e1b1fc9018e6e98d	0	2	-1,-1,-1,-1,-1	bundled-knot-table,replay-verified-evidence-start
braid:e630ba329f6f36336e9a571a68b102607a5db0411cc1472819d9d6d5306a1382	0	2	-1,-1,-1,-1,-1,-1,-1	bundled-knot-table,replay-verified-evidence-start
braid:145b79708489c4ae3012d22cab0d02b5f2f8d553c7ed28fe269fac0bfaaa86ef	0	2	1,1,1,1,1,1,1,1,1	ladder-benchmark
braid:51b19560f0e37e50e1ef22582624750f6b5d4b3d51a23b587239370dd2cfa108	0	2	1,-1,1,1,-1,1,1,1,1	replay-verified-evidence-start
braid:44b457f6a9c1f7cd5ef73e2406218f5005d6a3763627a3fff2f2f07487bf8c27	0	3	1,-2	replay-verified-evidence-start
braid:416e6967c944dbf5cb6446486c39d5138a8375b5bad6e68a761b18347eeb60a3	0	3	1,-2,1,-2	bundled-knot-table,replay-verified-evidence-start,test-fixture
braid:aa2b8e1ad91da9179626d8af01db733651107255cc305f183c825551137c84d9	0	3	2,1,2,1	replay-verified-evidence-start
braid:f7ec5455179c4cc9d99ab601bb5a6dabb45ac3e531484b23220b7b5f78a84131	0	3	2,1,1,1	replay-verified-evidence-start
braid:07578ac7a11c6f27928c19205be992592ec33c29e25109d1e183a1f724bc2cbf	0	3	1,-2,1,1,1,-2	bundled-knot-table,replay-verified-evidence-start
braid:1e583e372e7948fa527a9e2d7a2aa2c92ed86545068716fbff21bd8f315208d8	0	3	2,1,2,-1,1,2	replay-verified-evidence-start
braid:675c0e7cc4e651c05c8442dc7b0fe36bb53cc7c02f152852b2033db559841822	0	3	1,-2,1,-2,-2,1	bundled-knot-table,replay-verified-evidence-start
braid:caefd8def23a91edb0a2e190e86c5f74e8281b314002433f8e618a58a3db5507	0	3	1,1,1,2,-2,2	replay-verified-evidence-start
braid:1a30a4165beb2d34d0eed548093b45cf0f86b6f5125a126b54b96bce3f32f0c3	0	3	1,-2,-1,-1,2,2,-1,-2	bundled-knot-table,replay-verified-evidence-start
braid:5fb4f6a23619c875a28870ff492e57413a76177e8de65c180b32d1f777074bfa	0	3	2,2,-2,1,1,1,-1,1	replay-verified-evidence-start
braid:b499eaa5646311b142bd1759a2e0271a898b52c24c74fee8195fe41c30ed6e82	0	3	1,2,-2,-2,-1,1,1,-2	replay-verified-evidence-start
braid:bcdd0a52a8095c1eab5d27631dcd8abb52ea4c9fd0652835f50fe5dff8786d64	0	3	-1,2,-1,-1,-2,-2,1,-2	bundled-knot-table,replay-verified-evidence-start
braid:ce1c2e5f784291098cb937dc5a4452df75fb25ce007005e2b8007e5b4797fb3a	0	3	-1,2,-1,-1,2,2,-1,2	bundled-knot-table,replay-verified-evidence-start
braid:daae3a4234a83e27c21ff47915a1d7987cb35df25ee5d9d1b92d4feddaefdd29	0	3	2,2,2,1,2,1,-1,2	replay-verified-evidence-start
braid:e0b0147996cc3327e1b3f9f52db689c459f53de5e9417f932afda4c6d94730c4	0	3	1,2,1,2,1,2,1,2	ladder-benchmark,test-fixture
braid:08ac9cc40bc714d49f904515ca30be716d2a6f9d8c5752ea450fd0c3d0ada219	0	3	-1,2,1,-2,1,2,2,-1,2,1	ladder-benchmark,scheduled-ladder-source
braid:0c9f9b43962952162dfc28a24f739ad50c175899d095ebd501f666887b354c12	0	3	1,1,-1,1,1,2,1,-2,2,2	replay-verified-evidence-start
braid:21856d29b59217cc80135952599a6fbf5845c746fd4323166c12bcd1f1663595	0	3	1,2,1,-1,1,1,-1,1,1,2	replay-verified-evidence-start
braid:3a0fc1eb3b128fad79f74f97ac54c422a0619553063af6945778c4ff0e8cf1ca	0	3	1,2,1,2,1,2,1,2,1,2	ladder-benchmark
braid:3b259e9336a9384267eaf05deca5e3fd70583149f07bd0f1a46f03ac13fb0a22	0	3	2,1,2,1,-1,-1,2,2,1,2	replay-verified-evidence-start
braid:3fb9c051e1a7f3fc968e6284a219d9862a8233f581dd83ec44f3819ad6878d85	0	3	1,-2,-2,-2,-2,1,1,1,-2,1	bundled-knot-table,replay-verified-evidence-start
braid:5681d55169176c43b9f8e31531cbb17e82bbac3928da95a1500ffcfd3c49b582	0	3	1,-2,1,-2,1,-2,-1,-1,-1,-2	bundled-knot-table,replay-verified-evidence-start
braid:84bedad3ff2caddadc6bb981ff9f277be05f15141b2fd16e6ec03f34b2992d3d	0	3	-1,2,-1,2,-1,2,-1,2,-1,2	bundled-knot-table,replay-verified-evidence-start
braid:858a2429152abdaecba6cdc8ea740c4ac92dd03c04dbf75666a2705af6ce7195	0	3	-1,2,-1,-2,1,-2,-1,2,-1,2	bundled-knot-table,replay-verified-evidence-start
braid:f9a51039329983d0e4fa6fa07cd9c2f043d540098859bf0da3d140a66eb7699d	0	3	1,-2,1,1,-2,-2,1,1,-2,-2	bundled-knot-table,replay-verified-evidence-start
braid:0acd214f56df094a281b742850964efd556d5ad4fc647a351597fd757a115b4e	0	3	-1,2,-1,-1,-2,-2,1,1,-2,-2,-1,-1	bundled-knot-table,replay-verified-evidence-start
braid:0bb928967a91f24e5683d6c88b7fcc5656ae130c3bfb21d202c11d3127887ccd	0	3	-1,2,-1,-1,-1,-1,2,2,-1,-1,2,2	bundled-knot-table,replay-verified-evidence-start
braid:126eeb0b45e08df8a9c646bcbb99ac5da2884ce397fc4504270c73ec0993ba2c	0	3	-1,2,-1,-1,-1,-1,-1,2,-1,-1,2,-1	bundled-knot-table,replay-verified-evidence-start
braid:12c6d26dcd5e51d115f645f09e3745f012b94b1b8f49556eeb6e6e7ba8c6595c	0	3	-1,2,2,2,-1,2,-1,-1,2,-1,-1,-1	bundled-knot-table,replay-verified-evidence-start
braid:13630a2ad1197c43b033701fd8207e98cd8d5b112a75f58949ad20fe87e029e8	0	3	1,2,-1,-1,2,2,1,-2,-2,1,1,1	bundled-knot-table,replay-verified-evidence-start
braid:13dc37f10d10571ffd9ede7d3a291a6bfc7a9fc3b29bd58c2c897c6ca672009b	0	3	1,-2,1,1,1,-2,1,1,1,1,1,1	bundled-knot-table,replay-verified-evidence-start
braid:799a5b8cbf2a6a65d6a5325a0a18a8eb0806ff9ab099e19b048a9228fba7a588	0	3	-1,2,-1,2,-1,-2,-2,-2,-1,2,-1,-1	bundled-knot-table,replay-verified-evidence-start
braid:7bb4e790ac3a21c6a9fd124294ad0d2872b24e27774425d36a6361c8539ceabf	0	3	1,2,-1,2,-1,2,-1,2,1,1,1,1	bundled-knot-table,replay-verified-evidence-start
braid:7dcedecb66e35d8a81637b261acaa65fd151a41ebdc5c06ab647e2ca99ff03df	0	3	-1,2,2,2,-1,2,-1,2,2,-1,2,-1	bundled-knot-table,replay-verified-evidence-start
braid:9eae5c0d65843c97d9c591553ab72f0f05b78037405c42ab68eb6d5be7682470	0	3	-1,2,-1,-1,2,2,2,2,-1,-1,-1,-1	bundled-knot-table,replay-verified-evidence-start
braid:b13eebe419ab365db557801b64687e1530b796cd930be33104925639e45bdb40	0	3	-1,2,2,2,-1,2,2,-1,-1,-1,2,2	bundled-knot-table,replay-verified-evidence-start
braid:b3455b2b1d0eb015f24a46dd812255e09098785aa1f156de40a6192b391fbbe9	0	3	2,2,2,2,2,2,-2,1,-2,2,2,1	replay-verified-evidence-start
braid:b969c9452f73a7f4f6a247d191c03ab34efa2abbb89291c57c2a51e610a2c2f1	0	3	1,-2,1,-2,1,1,1,-2,-2,1,1,1	bundled-knot-table,replay-verified-evidence-start
