unknotdb-quality-frontier-v0
limits	128	3	4096	256	5	14
accepted	source_key	target_key	old_u	new_u	depth	semantic_len	program
accepted	013405db5eb30fd607a2694209365c2b77b68c335cf8b6df203f536b00fa4887	139c98746a5c2245409a26df017bc7f511e9d876244085013f7c7050385e0e69	2007	1991	1	1	554b5030010000000200000008000000000000000200000000000080
accepted	013405db5eb30fd607a2694209365c2b77b68c335cf8b6df203f536b00fa4887	7cabd44082a871786e49b94b43334cc9c02fdb14d54c4386c1d10830c71ffcda	1991	1985	1	1	554b503001000000010000001800000000000000
accepted	013405db5eb30fd607a2694209365c2b77b68c335cf8b6df203f536b00fa4887	47a4196fe3909d77bbc21fd46aba8d8dbc2d4c012bdb24817d3ead7260ead0c2	1985	1982	1	1	554b50300100000003000000380000000000000000000000000000c00600000000000080
accepted	013405db5eb30fd607a2694209365c2b77b68c335cf8b6df203f536b00fa4887	5fc96a4a6297bfb71695ca466c1db1485ea8262c7ad7a77627b90cd1f7233467	1982	1950	1	1	554b503001000000010000005800000000000000
accepted	013405db5eb30fd607a2694209365c2b77b68c335cf8b6df203f536b00fa4887	e76af60eccae5367afa9126453e34af6fd9913f2e079b50ae3a88e3f8317beeb	1950	1676	1	1	554b50300100000003000000680000000000000000000000000000c00300000000000080
accepted	013405db5eb30fd607a2694209365c2b77b68c335cf8b6df203f536b00fa4887	ae4d02a3778eb9266a6505ded7fbe04abc90e244097f714ad789f09fc9ad00e0	1676	1665	1	1	554b503001000000010000007800000000000000
accepted	013405db5eb30fd607a2694209365c2b77b68c335cf8b6df203f536b00fa4887	1afa519fa32e82dd020e4e8ca007ce085c4690bdcd735f7f29fd5aa37c8fdb5e	1665	1442	2	2	554b50300100000003000000030000001000000008000000000000000200000000000080
accepted	013405db5eb30fd607a2694209365c2b77b68c335cf8b6df203f536b00fa4887	3286fc61bce3abb438be739393d0c906bd0646534cf510aefc4a4d2c56e3ec12	1442	1105	2	2	554b5030010000000200000043000000100000004800000000000000
accepted	086e2972861765724ab9aee16b91ce82b735cd98269578197c32468530451ba8	b52b69dff05c789bc8206acb34a0d1e29a178b1102929a4840504026bc77558d	2006	1990	1	1	554b5030010000000200000008000000000000000100000000000080
accepted	086e2972861765724ab9aee16b91ce82b735cd98269578197c32468530451ba8	013405db5eb30fd607a2694209365c2b77b68c335cf8b6df203f536b00fa4887	1990	1106	1	1	554b503001000000010000002800000000000000
accepted	086e2972861765724ab9aee16b91ce82b735cd98269578197c32468530451ba8	cd607913900d1c3396d358aa655ebd5e0ab5ce4fb4dcc0ac448d1fe42cdfc1a5	1106	1104	2	2	554b5030010000000200000043000000100000004800000000000000
accepted	b1a9bdc0465735752efb253148d6dae69294b373ca372b5fcf656cca3ab19ca6	6f1632453ff530bdc203196db27caf45fe540d202cda6fcfd1d16f1763e0c4df	2005	1993	1	1	554b5030010000000200000008000000000000000400000000000080
accepted	b1a9bdc0465735752efb253148d6dae69294b373ca372b5fcf656cca3ab19ca6	086e2972861765724ab9aee16b91ce82b735cd98269578197c32468530451ba8	1993	1105	1	1	554b503001000000010000001800000000000000
accepted	6bcc85a4545c7ea36df282d904a9a9c9b0734c0a956d78f7cd12c6857dfe4139	b1a9bdc0465735752efb253148d6dae69294b373ca372b5fcf656cca3ab19ca6	2004	1106	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	d9efa8e266affc052ed220af253dbd56744af6502c0af484885b9cf085b44772	cae30e424d7931b13a13d93615304a24a848f6746a570618f6071ffeef255cf2	2003	1976	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	d9efa8e266affc052ed220af253dbd56744af6502c0af484885b9cf085b44772	6bcc85a4545c7ea36df282d904a9a9c9b0734c0a956d78f7cd12c6857dfe4139	1976	1107	1	1	554b503001000000010000001800000000000000
accepted	8f266234a172d905e6aaf7db6dce45c1167a26af915fb013f344e6215367f8da	6fa24bfe92ecfd74903438ffc4762e7e8859a8721c360918169764e2639c00e9	2002	1994	1	1	554b5030010000000200000008000000000000000300000000000080
accepted	8f266234a172d905e6aaf7db6dce45c1167a26af915fb013f344e6215367f8da	c446e86f017122fc613c0c537835b199ef1b417c3a24dbba861c0f487e6b9097	1994	1988	1	1	554b503001000000010000003800000000000000
accepted	8f266234a172d905e6aaf7db6dce45c1167a26af915fb013f344e6215367f8da	61a068a9ca2edc40382c1ad0450f30e7c4cd6b539da4b8738d9da3598762a1d4	1988	1952	1	1	554b503001000000010000004800000000000000
accepted	8f266234a172d905e6aaf7db6dce45c1167a26af915fb013f344e6215367f8da	3864af24945ba5e52e8ab8d6702710aa9bbc29acf1ff91ff6e4e4bb581488e49	1952	1672	1	1	554b50300100000003000000580000000000000000000000000000c00600000000000080
accepted	8f266234a172d905e6aaf7db6dce45c1167a26af915fb013f344e6215367f8da	d9efa8e266affc052ed220af253dbd56744af6502c0af484885b9cf085b44772	1672	1108	1	1	554b503001000000010000007800000000000000
