format	unknotdb-catalogue-planar-chain-import-v0
source_snapshot_sha256	c2d2dd17a792002372c7902ef53853f8677747a9ae1e2aaa19e80c56344421f3
policy_model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
max_policy_plies	128
max_semantic_moves	32
row	knot_id	status	old_u	new_u	cc_count	certificate_id	detail
corpus	outputs/unknotdb-catalogue-reidemeister-c3-c9-v0.json	f3620f939bfc1ebca0d1568bb28bdc5aba8dde46d3e2b0d367f0d0a2ad31998b	84
result	knot:3_1	already-sufficient	1	1	1	-	graph bound is already no larger than witness cost
result	knot:4_1	already-sufficient	1	1	1	-	graph bound is already no larger than witness cost
result	knot:5_1	already-sufficient	2	2	2	-	graph bound is already no larger than witness cost
result	knot:5_2	improved	3	1	1	ee0eae9eebe452907be50ef44b5fd834edcdab28adee950eef633f5efebf4de7	verified chain
result	knot:6_1	improved	5	1	1	c2781ad5ccf06586b2fda7058c1b777c8c8efc854125241f95c2998364d0b0da	verified chain
result	knot:6_2	already-sufficient	1	1	1	-	graph bound is already no larger than witness cost
result	knot:6_3	already-sufficient	1	1	1	-	graph bound is already no larger than witness cost
result	knot:7_1	already-sufficient	3	3	3	-	graph bound is already no larger than witness cost
result	knot:7_2	improved	9	1	1	83ca49b6369400ea02d0e9f904374685df610fb2be559a655011d43206d63dd0	verified chain
result	knot:7_3	improved	4	2	2	38287c4319445bd37d5a4fb9f63e278519c77178373c62c2aa8777c8015dd75b	verified chain
result	knot:7_4	improved	11	2	2	808f8b12e9632a538d2742d0f6d97e8238e39addf9b2bc252ee55aba2c1c5c30	verified chain
result	knot:7_5	improved	4	2	2	5ecd3c6df0e2081f693aaff2e0f9f46d3cb9d05d25b809db12c8fd744b5a86bb	verified chain
result	knot:7_6	improved	4	1	1	7225f1586b1692df1117252a4fa9e205c1c65a5f10cc94127c3462ebfc955447	verified chain
result	knot:7_7	improved	4	1	1	0d9dfaa8f13b22846b1d678d7b8a9361a3a82d8b7304d1d09c539824f3ba608b	verified chain
result	knot:8_1	improved	9	1	1	31e55184ce135640fff35c7c64010f09be8d0d419da6dbf959256727f48d54c7	verified chain
result	knot:8_2	improved	3	2	2	5ef42267772bb7b72f9bd245d35772418ab6dec5556b86e6c154bc62f7859e06	verified chain
result	knot:8_3	improved	11	2	2	fbb38df538f91d4405cf8e967014d8f065ecc49a291e835e9e774bfa5fb69eab	verified chain
result	knot:8_4	improved	6	2	2	1530bb38d1783f3a3b7b676488c6e73a4d911ece4911e68e4b6411b4853cde7d	verified chain
result	knot:8_5	improved	3	2	2	32d79d242e3939f46445f81a53b238675ced4620305e3d51e51d671e6f1b6475	verified chain
result	knot:8_6	improved	6	2	2	1161b1707208c65cd7c347d22db105f032efc5dbf20c02b4b5ec99263b247533	verified chain
result	knot:8_7	improved	4	1	1	86c8178217a40a3af12ac7624271422f60ccc33465bd9dc6c9661c032b09c710	verified chain
result	knot:8_8	improved	5	2	2	325ba808b77c9f4ee99d91f3504ac90d1969c3e9658b6585711148a878248668	verified chain
result	knot:8_9	already-sufficient	1	1	1	-	graph bound is already no larger than witness cost
result	knot:8_10	improved	4	2	2	9af68e270241b06b753b2fe24061dea71fb7fb1b9636ea704231a78f24495225	verified chain
result	knot:8_11	improved	8	1	1	9907c97c66abbbeea1c53f52e730948072a368eed5c9b11afcff5d576f74b4e6	verified chain
result	knot:8_12	improved	6	2	2	f923a5d906d4deadd8db69ff3ce840664b8e31f928403d12f9e16837ade6153e	verified chain
result	knot:8_13	improved	7	1	1	6a280193933a87f150e17167d55a4e3c3ed201eb1c9fd0e36a872ccd0662c64c	verified chain
result	knot:8_14	improved	4	1	1	61c9e454c48ff23308968f367bb645c2b2ac695866e5817c23151e1385418b8a	verified chain
result	knot:8_15	improved	8	2	2	a965278a88781e4aca2b51b61bc914d5f67c382c523079c6e0d16959ccd7785e	verified chain
result	knot:8_16	already-sufficient	2	2	2	-	graph bound is already no larger than witness cost
result	knot:8_17	already-sufficient	1	1	1	-	graph bound is already no larger than witness cost
result	knot:8_18	already-sufficient	2	2	2	-	graph bound is already no larger than witness cost
result	knot:8_19	absent-source	-	-	0	-	standard normalized key is not in graph
result	knot:8_20	already-sufficient	1	1	1	-	graph bound is already no larger than witness cost
result	knot:8_21	already-sufficient	1	1	1	-	graph bound is already no larger than witness cost
result	knot:9_1	already-sufficient	4	4	4	-	graph bound is already no larger than witness cost
