knot_id	catalogue_exact_u	status	attempts	strands	word_length	rep_key	graph_node_id	graph_u_upper	cc_positions	zero_ri	zero_rii	zero_riii
knot:10_1	1	witness	3	9	40	b444f058b6c24513e0ce3dda56563209448e89249576befef4e634e73325792f			2	8	16	0
knot:10_2	3	witness	44	3	10	e6ccdfb42f4bd80d3c78b8a433c985bb817fd44ea3094fe1e7e6e3b0bb75b1d5	90736	6	1,3,4	2	4	1
knot:10_3	2	witness	459	9	40	afc1b56bb22886a3b269d3ca47730f3cdd4e246f592eb5f58638c038a940427b			14,18	8	16	0
knot:10_4	2	witness	73	7	26	feee83a5638a32396e3393f830725e17a5278d2d1bdca42270f3cbf8d19410a4	100216	10	3,4	6	10	0
knot:10_5	2	witness	19	3	10	f9226b9daa28988b6fe5cfaea77ec2c2c1a693a542a24d47171111bd824eea16	98002	5	2,4	2	4	2
knot:10_7	1	witness	10	7	26	d2f072a8642a5178af285f3089b4bf4545b80f7c1dd2ca3947dfc3b276ad6b0b	83113	16	9	6	10	1
knot:10_8	2	witness	64	5	16	94c23059e2f4b6ddaa0493b8e94634992b54fefe15127a445c923d943b80b1b8	58844	5	4,14	4	6	6
knot:10_9	1	witness	4	3	10	7cf6c6b73be972ebc7adf96ed25cd8036c47ca6a237f1c2b847b3fc9cbfc6c6e	49590	3	3	2	4	3
knot:10_10	1	witness	11	7	26	90aed61dbb4faaaeba8400da93dffb28b8617ea27121e5eb6d98e19013089030	57260	13	10	6	10	1
knot:10_12	2	witness	86	5	16	d58e9515e76ab6591ad6c2c632fd3a758ef744bb4d32e7c0824619a8cea8a429	84073	6	7,9	2	7	2
knot:10_13	2	witness	88	7	24	c46400e508b0516a5c08437b42195364c55b3220ad4851ac141c0e4b6067738e	77385	10	4,6	6	9	0
knot:10_14	2	witness	22	5	16	9cfceb792f693939d8ddb7893c7d8f54a89970e052287aeb661e3e48a7e17417	61997	5	1,8	2	7	2
knot:10_15	2	witness	23	5	16	7dfe418feb86a6f55cb56e4ad2fb0f60781573629fcdd23e0a74fba72603ee2b	49968	6	1,9	2	7	2
knot:10_16	2	witness	71	7	26	3f37613f892e52f99d4a49d747d109d412d6cce8285cee9467f5fb0470fc6397	25103	10	2,24	4	11	1
knot:10_17	1	witness	5	3	10	60fca203b3c891ba98702f0aecc334dda7c001964aad37bc04c38994e69a4e6a	38480	5	4	2	4	3
knot:10_18	1	witness	16	7	26	56db02de4593de88bbb0589077a44319daa0d1b85d50da4339295d13ae8b2446	34483	18	15	2	12	3
knot:10_19	2	witness	25	5	16	9b14e1e3b9c47177d8a3fe52e6c08143edeefe2575d927be5c069ee9cc6062dc	61252	6	1,11	2	7	2
knot:10_20	2	witness	305	7	26	edec4ac3d07ab6b9e32bb37e249b94fca98c1d11710af8f7a7ffeb5a8667bb20	93672	14	19,20	6	10	0
knot:10_21	2	witness	90	5	16	41c20cf376a4eb87af10a46546d2b7e56b559a64f215d93302bf289d296a7791	26089	7	7,13	4	6	1
knot:10_22	2	witness	56	5	16	2b3a4946826f5ce955922a891f9960d0b9ce9a36b20f73659ec8d69c276e69b6	16995	7	4,6	2	7	2
knot:10_23	1	witness	7	5	16	e1d95711ddcb18da48e668946c41f35349d43b86c8478d09e71a5eef137aa2e5	88843	6	6	4	6	2
knot:10_24	2	witness	157	7	26	44a3412ab415ddf8840b3c824e893d20414727ee63d73d594c19e07a25d7605c	27266	14	7,10	6	10	0
knot:10_25	2	witness	75	5	16	fedfeb686b851a8a8bf393e470b0e5616f0917a24ea2c861f3c84e776434bc3a	100204	7	5,15	4	6	1
knot:10_26	1	witness	14	5	16	bfb77d0de653c3fe2c62e843f46305187d7ac04330799f1fc93964c031fcdf71	75587	7	13	4	6	2
knot:10_27	1	miss	16	5	16	cbb4c014331484a8c4049a84397746554d29f78e3520ace2ad0133719007bc10	80229	6		0	0	0
knot:10_28	2	witness	54	7	26	9324e3f4fa3f0095dafd4a3952bbef41e3d84571d29acde2e61383a15891abd4	58204	13	2,7	2	12	4
knot:10_29	2	witness	68	5	14	75cc544a9fcead92668bfe752a9c6be494f10f7db35a01089f933b885e56d5cc	46764	7	6,11	4	5	1
knot:10_30	1	witness	16	7	26	c810c2c33979df3073dc1547746d3a9bf377125a99b40d86c05a7098ced5abf4	78850	14	15	4	11	2
knot:10_31	1	witness	15	7	26	e8f758d169ec4b92fcf5545902a1ff36e3ab07739b43719ed1e2a9a8758b50ff	91629	11	14	2	12	3
knot:10_32	1	witness	11	5	16	1603ace741c0aaf5771319f340677b464c1f44068b6fc8f5e719ad586f0e6942	8718	7	10	2	7	3
knot:10_33	1	witness	4	7	26	e7e9829ad2ade89d109832b21ec4a4e0bf7a90965200baf6736497c4cea70c47	91195	13	3	4	11	2
knot:10_34	2	witness	29	7	26	f98cc1462f5064b5e322648fcc21b8d8cb8cf17091706adb572b22afa61b60e4	98150	11	1,5	6	10	0
knot:10_35	2	witness	50	7	24	017ac52f0143039885ae0a0f0f06b7c485c1512f5525b70c2b0098fa1e45679b	606	10	2,7	6	9	0
knot:10_36	2	witness	141	7	26	22dbf8ec82a2b082099b69b9ad3ec638d02cf260b9b5f981a9470e23b53cac94	13725	16	6,12	6	10	0
knot:10_37	2	witness	146	7	26	c2fefb283f38372d80daa6e859f50c41c36f25725aab87c8597fc77b3588b651	76838	13	6,17	6	10	2
knot:10_38	2	witness	30	7	26	c35b888d8252d302721179a00999ffe103177f68a5f40d6d99f004d00d3aa686	76984	14	1,6	6	10	0
knot:10_39	2	witness	30	5	16	75732ca249c35953fa87ec75aff0b5617be246f3bf78c75c18ad383236881d22	46637	7	2,3	4	6	4
knot:10_40	2	witness	40	5	16	d2e0fa8f9fbd0a99b5556172aa5f8bc7fcf69771e57814c4b839f36a4607f9f4	83085	8	2,13	4	6	2
knot:10_41	2	witness	21	5	14	1890f65654b45f3100e884905a204ac307e47f7a18e36558c2d0c6768dde681a	9700	5	1,9	4	5	1
knot:10_42	1	witness	6	5	14	3bf9159dbd7d4a467382b8d59e2d23601ca1482bf835660e6655421ca7375aeb	23783	6	5	4	5	5
knot:10_43	2	witness	24	5	14	49116133b785ee02595412bdb0a5f1654c3eb6f941cfc639f29266564303916b	28999	6	1,12	4	5	1
knot:10_44	1	witness	2	5	14	bfcae7fb9f1e4208eff45aadb9c3a459ee4c9d46822fa73b070b5fa038e5d417	75608	7	1	2	6	3
knot:10_45	2	witness	19	5	14	bbeedd609d3b9b244236d88b8dac5e22689ec5a226347d63a9c663df7074d941	74105	8	1,7	4	5	1
knot:10_46	3	witness	39	3	10	1e79869f7bf2979b11d18bd4c2b6fc3d2cf3abe909fc51975f99997d8b6e3d8c	11947	6	1,2,5	2	4	1
knot:10_48	2	witness	3	3	10	2e5c160c3fcefa2354197afe736232f45ef837af3c536f1e58813f12a9330250	18312	2	0,3	2	4	2
knot:10_49	3	witness	139	5	18	b21944ba5863fce047551fe88477c4a257f77cbb44bf3d11f68e58030f4437b9	70263	7	1,2,5	4	7	0
knot:10_50	2	witness	66	5	16	a3e6225f45f8fb6b8ce9177440101d29916f43a45a5251eacc38617dbe6de3c4	64677	9	5,6	4	6	1
knot:10_52	2	witness	93	5	16	eb18119f557b47cc1f9a6fae858a1a53cedbc6eaee581df8ee2c0b3e50628812	92547	8	8,9	2	7	2
knot:10_53	3	witness	1510	7	28	04408371a2ff942f0ebcf734b277b21c1d0fe1af0d0f9c21c9f4a9bc31f6487a	1722	16	5,6,11	4	12	2
knot:10_55	2	witness	84	7	28	608682ec67e661bdebf03429331e81563f342cce1258227f73ad37034da0fe6f	38273	12	3,9	6	11	0
knot:10_56	2	witness	70	5	16	391cba74b7fc49c3bf486ccff33cba9692dca75b54ae78420d8d84abf7d9c37b	22653	7	5,10	2	7	2
knot:10_57	2	witness	21	5	16	026ecbd9c8f78b457eb491f9db91611d1f6cfa3415aebc63936c354d5feb00c3	993	6	1,7	4	6	1
knot:10_58	2	witness	145	7	24	d73b109381bc0f7deec556ca4ee4f54ea1ed484ea69d562120029ff69e01b29d	84737	10	7,12	6	9	0
knot:10_59	1	witness	3	5	14	eaa6b5bdc36630996d924b5d0ceae04e469620f87cd505eb04de832b8a4228a3	92381	5	2	4	5	2
knot:10_60	1	witness	4	5	16	67864090ce4eed50c843a51c8d32df59b60ae0cd9015c47c878bf6e1852b78f8	41042	11	3	4	6	2
knot:10_62	2	witness	43	3	10	ca6e7e8d5c1f2facdf2471da1628576c063a3896d5cdd1943def25b639804af6	79763	4	7,8	2	4	2
knot:10_63	2	witness	316	7	28	6e83c9d5c02892f477bc67eb86bc6f2897a2e843f7db018bbf4a454331616b63	43794	14	16,20	6	11	0
knot:10_64	2	witness	1	3	10	4fe43d3a5821ebff68555d26c22f344a911835f728b377e9340417354f7674df	31650	2	0,1	2	4	2
