knot_id	catalogue_exact_u	status	attempts	strands	word_length	rep_key	graph_node_id	graph_u_upper	cc_positions	zero_ri	zero_rii	zero_riii
knot:3_1	1	witness	1	2	3	c6c7a21a4038f07a3adf79d1f92a6f6e885d0baf284706a4c5f16acf20058b3d	78325	1	0	1	1	0
knot:4_1	1	witness	1	3	4	c1a82aa4c3c9591a36a6a6f397b0fe2afdd3f76a1c751aae04843d212e89f74d	76335	1	0	2	1	0
knot:5_1	2	witness	1	2	5	bbd46ac8b19565e37b2d58cf830375d8c9b05188506ac6cf88146145c87397f8	74068	2	0,1	1	2	0
knot:5_2	1	witness	2	4	9	c0a46692f8eb1882d5830d29d23893a79e971b2c5cf33d9d20f52f06d0770676	75947	3	1	3	3	0
knot:6_1	1	witness	8	5	12	5c86161c52e0be38186f31e1b364d6671128110e5b507afa76fa51701942dfe6	36728	5	7	4	4	0
knot:6_2	1	witness	2	3	6	128342ecd683be074ed55e318c457f77fb550713a4126a9ef2e4e49445e3d57d	7341	1	1	2	2	1
knot:6_3	1	witness	3	3	6	af99fd786e6c4cf96090fa9b360e405839cd189977b85000d161d7ad1f249df0	69268	1	2	2	2	1
knot:7_1	3	witness	1	2	7	0255406df9f79d0c0c5b3013488b3c259ff9514bfeae69ec4c4f591691f4cb15	948	3	0,1,2	1	3	0
knot:7_2	1	witness	10	6	19	823bdfaf56194f0688d853284ef1a74dc4f79b49857e6f706a61376ea5279fae	51628	9	9	5	7	0
knot:7_3	2	witness	50	4	11	2ed82a0bf65b8fa8e81ccf7f23314d03925baeed9819df6c691d774a3247be42	18521	4	7,8	3	4	0
knot:7_4	2	witness	28	6	19	3cc17fd7cb9da4d199ec06e77e8e298ee99df3529c988e07e697dc97fff3b034	24096	11	1,11	5	7	4
knot:7_5	2	witness	43	4	11	b0cd43483385be3d1fadeeffbf143e271509af1c25150774cba9ef45e62846ed	69748	4	5,8	3	4	0
knot:7_6	1	witness	6	4	9	1b22b49b1974d53609637475464b32a0af5fb992ab963d2b09bf2c209ce119dc	10666	4	5	3	3	1
knot:7_7	1	witness	3	4	9	4aa847c67ad94e85f8305cc3f3b67a6e9d0de3b1751d00f117422b3100817844	29630	4	2	3	3	1
knot:8_1	1	witness	8	7	24	8ba1d80cd484bbfeeceead2aa77addd606b9d17d2a4a5bd278560582f5abe6da	55284	9	7	6	9	0
knot:8_2	2	witness	9	3	8	a87f4dfb557c9ae32bedcb7e48813b8a40ef492cd1e3bd4f73ce133eb169f285	66415	3	1,3	2	3	1
knot:8_3	2	witness	88	7	24	3545b63fba8d9c8d81a01205cebaac2dd5e36ed10cf92d00246b14c86be1c9ec	21104	11	4,6	4	10	0
knot:8_4	2	witness	14	5	14	e186ed22cc95c94649ce4070ab6b3e2782cc6d3deec571d9e7755fd76f8681ec	88723	6	1,2	2	6	1
knot:8_5	2	witness	8	3	8	a4bd72ab43c52e72928311d24cb185c9e0e67587ddb45b2d1f0f4791d9b6550d	64986	3	1,2	2	3	1
knot:8_6	2	witness	23	5	14	3abdae74718e47645421972f792291ef9701517dbccacf83be2b1a7cf84c2f6b	23306	6	1,11	4	5	1
knot:8_7	1	witness	3	3	8	dac97aa5a276127b62dffff86c14f74892de12ef2da66accbf4aa357aaa38c2b	86120	4	2	2	3	2
knot:8_8	2	witness	14	5	14	38d099f066689b84244294ab326e1242e689d161a9140f726f0243366b02e897	22552	5	1,2	2	6	1
knot:8_9	1	witness	4	3	8	9f121d7850a6591216b412cc3ffdd3252d4b27cfde7617f8105c6b5d08d66a21	62796	1	3	2	3	2
knot:8_10	2	witness	23	3	8	219e9174df71e34e0be63e03f9d15a03ccae358d038daa1cae4200bb0c72edb4	13203	4	4,5	2	3	1
knot:8_11	1	witness	10	5	14	77f2939affc87da37e4779e10cbcf55e069c4988bab46fbd8b3465ea83ef0d56	47611	8	9	4	5	1
knot:8_12	2	witness	16	5	12	b74059a8d0cb3e28931a858eb32aa23bc1e04f8c2b3d15412cb74fabaf7a0cf9	72322	6	1,6	4	4	0
knot:8_13	1	witness	6	5	14	353232cea4c09c835484911f0255902052ff8cd0058f0caec17e2d8d8481b6d8	21067	7	5	4	5	1
knot:8_14	1	witness	14	5	14	841d928edf634ef1df8d387861c0227bf0706e470596c64300cc7a3dcbadb5cb	52362	4	13	2	6	2
knot:8_15	2	witness	98	5	16	cd9b19d105c566fa2f641f981a4e35955b0430b66ce870472b5f9673f221901f	81016	8	8,14	4	6	0
knot:8_16	2	witness	3	3	8	a732f82ce03232cf78e50131984aa938ae58b64245829c37d94a0dfcc3fd113f	65954	2	0,3	2	3	1
knot:8_17	1	witness	5	3	8	e3e117464f9d122d52dbb8d100db7a14dea24efc72b9551b9c6fbdbdfaf0aa09	89617	1	4	2	3	2
knot:8_18	2	witness	3	3	8	97cb95cb351b2c81322e20e82401782e3758df21620dcae510e0ffd41d502726	59990	2	0,3	2	3	1
knot:8_19	3	witness	2	3	8	fb244c7c79d84942c153afa6f52293348d7c0b946af3cdebec0222065b756104			0,1,3	2	3	1
knot:8_20	1	witness	7	3	8	ec21fa41fb9cb6c99443df485058f6d684768cce1ffd7b5fcb3a3788129b0960	92960	1	6	2	3	0
knot:8_21	1	witness	2	3	8	c1e65bfc9fa2c78d26714fb1d6faba2d10314cf57951f183a76e4de2a3b4a6c7	76426	1	1	2	3	0
knot:9_1	4	witness	1	2	9	a97addc81e1bfccda2633b69f5c2fa73d5836918428540433b89014e0b31f8c6	66793	4	0,1,2,3	1	4	0
