unknotdb-rf-descending-import-v0
snapshot_id	32cd2e96ddab2af3240e7572945735218922b31cef61cd776d4a1a52b2ff5ad2
model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
range	0	2989
policy_limits	128	32
representation	id	stopping_key	old_u	new_u	cc	edges	status
representation	braid:98036447526a796c8f89c010e81af3850f62df59425f06a92fd2b76d3db7cc58	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	0	0	0	0	already-covered
representation	braid:7746cc6e8f6f73a16304405201fc08187bd8bbed7edc2bbb50c2a562ea58289a	c6c7a21a4038f07a3adf79d1f92a6f6e885d0baf284706a4c5f16acf20058b3d	1	1	0	0	already-covered
representation	braid:e7c15a9b13e8d0ec34ddb999fc36c0823fb2c0e46c526c59aff8b23072506951	c6c7a21a4038f07a3adf79d1f92a6f6e885d0baf284706a4c5f16acf20058b3d	1	1	0	0	already-covered
representation	braid:14d66dcf71cf605d4aa24fa1bfbf2e90ad7fcb66edf5345b9cc15ae11558a7d5	bbd46ac8b19565e37b2d58cf830375d8c9b05188506ac6cf88146145c87397f8	2	2	0	0	already-covered
representation	braid:b6cae10db89cad9003f4508675a5c05dea7fa2b47b10b213e1b1fc9018e6e98d	bbd46ac8b19565e37b2d58cf830375d8c9b05188506ac6cf88146145c87397f8	2	2	0	0	already-covered
representation	braid:e630ba329f6f36336e9a571a68b102607a5db0411cc1472819d9d6d5306a1382	0255406df9f79d0c0c5b3013488b3c259ff9514bfeae69ec4c4f591691f4cb15	3	3	0	0	already-covered
representation	braid:145b79708489c4ae3012d22cab0d02b5f2f8d553c7ed28fe269fac0bfaaa86ef	a97addc81e1bfccda2633b69f5c2fa73d5836918428540433b89014e0b31f8c6	4	4	0	0	already-covered
representation	braid:51b19560f0e37e50e1ef22582624750f6b5d4b3d51a23b587239370dd2cfa108	bbd46ac8b19565e37b2d58cf830375d8c9b05188506ac6cf88146145c87397f8	2	2	0	0	already-covered
representation	braid:44b457f6a9c1f7cd5ef73e2406218f5005d6a3763627a3fff2f2f07487bf8c27	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	0	0	0	0	already-covered
representation	braid:416e6967c944dbf5cb6446486c39d5138a8375b5bad6e68a761b18347eeb60a3	c1a82aa4c3c9591a36a6a6f397b0fe2afdd3f76a1c751aae04843d212e89f74d	1	1	0	0	already-covered
representation	braid:aa2b8e1ad91da9179626d8af01db733651107255cc305f183c825551137c84d9	c6c7a21a4038f07a3adf79d1f92a6f6e885d0baf284706a4c5f16acf20058b3d	1	1	0	0	already-covered
representation	braid:f7ec5455179c4cc9d99ab601bb5a6dabb45ac3e531484b23220b7b5f78a84131	c6c7a21a4038f07a3adf79d1f92a6f6e885d0baf284706a4c5f16acf20058b3d	1	1	0	0	already-covered
representation	braid:07578ac7a11c6f27928c19205be992592ec33c29e25109d1e183a1f724bc2cbf	128342ecd683be074ed55e318c457f77fb550713a4126a9ef2e4e49445e3d57d	1	1	0	0	already-covered
representation	braid:1e583e372e7948fa527a9e2d7a2aa2c92ed86545068716fbff21bd8f315208d8	4207e83cd633f43d66d4b1b39c7cf1ee5201e871fceac687cf98c1d3256c59f4	1	1	0	0	already-covered
representation	braid:675c0e7cc4e651c05c8442dc7b0fe36bb53cc7c02f152852b2033db559841822	af99fd786e6c4cf96090fa9b360e405839cd189977b85000d161d7ad1f249df0	1	1	0	0	already-covered
representation	braid:caefd8def23a91edb0a2e190e86c5f74e8281b314002433f8e618a58a3db5507	c6c7a21a4038f07a3adf79d1f92a6f6e885d0baf284706a4c5f16acf20058b3d	1	1	0	0	already-covered
representation	braid:1a30a4165beb2d34d0eed548093b45cf0f86b6f5125a126b54b96bce3f32f0c3	ec21fa41fb9cb6c99443df485058f6d684768cce1ffd7b5fcb3a3788129b0960	1	1	0	0	already-covered
representation	braid:5fb4f6a23619c875a28870ff492e57413a76177e8de65c180b32d1f777074bfa	c6c7a21a4038f07a3adf79d1f92a6f6e885d0baf284706a4c5f16acf20058b3d	1	1	0	0	already-covered
representation	braid:b499eaa5646311b142bd1759a2e0271a898b52c24c74fee8195fe41c30ed6e82	c1a82aa4c3c9591a36a6a6f397b0fe2afdd3f76a1c751aae04843d212e89f74d	1	1	0	0	already-covered
representation	braid:bcdd0a52a8095c1eab5d27631dcd8abb52ea4c9fd0652835f50fe5dff8786d64	c1e65bfc9fa2c78d26714fb1d6faba2d10314cf57951f183a76e4de2a3b4a6c7	1	1	0	0	already-covered
representation	braid:ce1c2e5f784291098cb937dc5a4452df75fb25ce007005e2b8007e5b4797fb3a	e3e117464f9d122d52dbb8d100db7a14dea24efc72b9551b9c6fbdbdfaf0aa09	1	1	0	0	already-covered
representation	braid:daae3a4234a83e27c21ff47915a1d7987cb35df25ee5d9d1b92d4feddaefdd29	e7c9619410813de29b0f7cc9c7a0691d6772145de8100cce887a96eafbc343dc	2	2	0	0	already-covered
representation	braid:e0b0147996cc3327e1b3f9f52db689c459f53de5e9417f932afda4c6d94730c4	1e208ef280517e02c9b0d287ebbe023899785c53cc96a6d720a25e5232414cfe	3	3	0	0	already-covered
representation	braid:08ac9cc40bc714d49f904515ca30be716d2a6f9d8c5752ea450fd0c3d0ada219	a42408f82962c438f1d850d4f5bc60e3e126d5bae0468265cc787e6a629559b9	5	5	0	0	already-covered
representation	braid:0c9f9b43962952162dfc28a24f739ad50c175899d095ebd501f666887b354c12	4a747f3c17cc6736e2f00800006fe1c8285b630baffed6848945ea9ac1c95c30	2	2	0	0	already-covered
representation	braid:21856d29b59217cc80135952599a6fbf5845c746fd4323166c12bcd1f1663595	4a747f3c17cc6736e2f00800006fe1c8285b630baffed6848945ea9ac1c95c30	2	2	0	0	already-covered
representation	braid:3a0fc1eb3b128fad79f74f97ac54c422a0619553063af6945778c4ff0e8cf1ca	f7451efa7f1a3f3b18320e18f65622cdbbf765220e212c0d2a3135e60e31ee86	4	4	0	0	already-covered
representation	braid:3b259e9336a9384267eaf05deca5e3fd70583149f07bd0f1a46f03ac13fb0a22	c77132a616247ad571f5341433b666ed93284b12b8f0b93f0350b3a388f3d400	2	2	0	0	already-covered
representation	braid:3fb9c051e1a7f3fc968e6284a219d9862a8233f581dd83ec44f3819ad6878d85	2e5c160c3fcefa2354197afe736232f45ef837af3c536f1e58813f12a9330250	3	3	0	0	already-covered
representation	braid:5681d55169176c43b9f8e31531cbb17e82bbac3928da95a1500ffcfd3c49b582	3c4fb7b9c3efa4697672a5d91ee552b061408fdd16fe9afec2fe2b1bffcd9a19	1	1	0	0	already-covered
representation	braid:84bedad3ff2caddadc6bb981ff9f277be05f15141b2fd16e6ec03f34b2992d3d	9afd4ad27df4420ba9071b21494e8f79e93ba21e675ca96ef8a226ae07e7e167	3	3	0	0	already-covered
representation	braid:858a2429152abdaecba6cdc8ea740c4ac92dd03c04dbf75666a2705af6ce7195	78cbb62fcc1c9ec670c90bba72c56d1e572f69d00eb59792fedb162faf03e83c	2	2	0	0	already-covered
representation	braid:f9a51039329983d0e4fa6fa07cd9c2f043d540098859bf0da3d140a66eb7699d	b6952ef9de3e048a8d60d9adb504f0522b86f96cd6a178d821f3d6db84f9b74b	2	2	0	0	already-covered
representation	braid:0acd214f56df094a281b742850964efd556d5ad4fc647a351597fd757a115b4e	084e7f7e5e37db403baa65b0d4f597d46918e81340f339ee75b03e248ab8423c	2	2	0	0	already-covered
representation	braid:0bb928967a91f24e5683d6c88b7fcc5656ae130c3bfb21d202c11d3127887ccd	d034fabf0724b674286239ad8ae12db7b66a229a46efaa744f87ed5b147230dc	3	3	0	0	already-covered
representation	braid:126eeb0b45e08df8a9c646bcbb99ac5da2884ce397fc4504270c73ec0993ba2c	89fbfc33d9a00ec9c155b632a33750d3629615df836e0eacbcdd3c0cbd65395c	4	4	0	0	already-covered
representation	braid:12c6d26dcd5e51d115f645f09e3745f012b94b1b8f49556eeb6e6e7ba8c6595c	2b3905b631626738ecc90c81de57f5f76354e4a6d1aed138cd69b3e9f0bb48d1	1	1	0	0	already-covered
representation	braid:13630a2ad1197c43b033701fd8207e98cd8d5b112a75f58949ad20fe87e029e8	9eb38446afc8f4bc76f5e94c6a6bcd804c048ef15353238905159fecb45527e5	3	3	0	0	already-covered
representation	braid:13dc37f10d10571ffd9ede7d3a291a6bfc7a9fc3b29bd58c2c897c6ca672009b	e38163144f502e36a8ab3e317ac6d0369e64944d753eed261a7f9bcfab92bf4f	4	4	0	0	already-covered
representation	braid:799a5b8cbf2a6a65d6a5325a0a18a8eb0806ff9ab099e19b048a9228fba7a588	57f8d872bde947d2c3255a872fddee6cd8f8b48f688307f41d722a2af4ef6d46	2	2	0	0	already-covered
representation	braid:7bb4e790ac3a21c6a9fd124294ad0d2872b24e27774425d36a6361c8539ceabf	b61d3b9188c2b1a02ae9c739bfcc985a47b462114ba995768fce3a0e6e758ec7	2	2	0	0	already-covered
representation	braid:7dcedecb66e35d8a81637b261acaa65fd151a41ebdc5c06ab647e2ca99ff03df	8cd16853270218892c78b156825200498ec2e19972cf82bd4dfb465e4a8d3a58	2	2	0	0	already-covered
representation	braid:9eae5c0d65843c97d9c591553ab72f0f05b78037405c42ab68eb6d5be7682470	44c089dd1af0bc8cfb90dd89427420fadc2879c4940429c97593de3e0838b97e	4	4	0	0	already-covered
representation	braid:b13eebe419ab365db557801b64687e1530b796cd930be33104925639e45bdb40	4e7beb2621f1198e466fab0524524b7241fda7c54bada4baf118d96b24b84d48	2	2	0	0	already-covered
representation	braid:b3455b2b1d0eb015f24a46dd812255e09098785aa1f156de40a6192b391fbbe9	4a2475aa60c32b6da030e73ea6805be20629e0069dd0a26899691e5a13a56434	3	3	0	0	already-covered
representation	braid:b969c9452f73a7f4f6a247d191c03ab34efa2abbb89291c57c2a51e610a2c2f1	42eb188c937b027678d63abf34ef18b848b20db51ffe9f1ea84720f4c65cfdb7	3	3	0	0	already-covered
representation	braid:bd9546378d40e538c04d06ef0de87102985a59875c5fba5b9f372e45a4304e6c	fed68cca77792dd241edecf6aa1d553445daafd7f73b12364ec3ae0e21caa70c	3	3	0	0	already-covered
representation	braid:c95944e7660f069e3e3bb0a2d77adebe9e5b89a1f601c5eb017ba07a75e7d39a	8738c5218ef65c2d2bfa012da1efcfbe16a9ffdb8caea92dc342e3f8bef22b46	3	3	0	0	already-covered
representation	braid:cf017959a0cb80a5b954b247432c9584ada1d1cf65da08bb79a62eb46bc44c7e	53ff93241588efc5c935f743fe7d21820aa37fbf7fb8168f6e0c547db064fcdf	2	2	0	0	already-covered
representation	braid:db6828f8f6d60c71f5d7595a52e45f61d6c7b8e0513d104b1d26dbcdfcf980a0	3cfd481dc043618782c5f958733ac4444ef8ce7fbfe98d025416615a111d25f4	2	2	0	0	already-covered
representation	braid:f243676c2eacb2e51aaad362a487ccb304f51473d370b7ad83aee5cabaca18ee	ba764acc9970adbde64d0daf7a0665de6a826cb27c5ab488af7fcfc52eeb2eb3	3	3	0	0	already-covered
representation	braid:fc51459f2880ddbbeb3fb143b756ba7174b9f83c8c4e859956a9ff628cf02b49	8fe0b6b8d0e40090b5a8edefb9ff849496f76388746f808520885c6739ada49f	4	4	0	0	already-covered
representation	braid:fe7c5be57a47afc0eb922ba9378cf0052891d9cb30e895d932c9dd8e28cfa228	74c019d5f4efba33e55c32771360dc4c59e562ff639fef0022e13d8f199f17e1	3	3	0	0	already-covered
representation	braid:56ca662991219737ee759a247a77aa49b91cfdf4c4f615364627d3f282aa06b6	9407b29cb6ef6ab6f2c3610f929a719bf74168cfc342a60131ee790e3b4a99c6	4	4	0	0	already-covered
representation	braid:c7bd2170372f673d70212c3aa2571647c4c17621c1d3d2eb9118ff08bec2ce6e	84a055aca23a6540680986d9594d97fc2b9fbf4c92635312017496d89ff53207	3	3	0	0	already-covered
representation	braid:6f3348ef6f0b2e71c15cec31f853fcf0e671e31bb9620f32cf230fe37a9a2896	f80a4ff9f9c54e58ca62c6ee0f810d368615c5a881828b69cfa7c1a01ff26998	6	6	0	0	already-covered
representation	braid:5c193c9dd7cf7c1cdfaf51c97c4ecce4f1349cec41594f967ecb1ba52905ac6c	de985008529e25e2bef777caef2a0643c4c298cc41d48b365bb38f2206c7d352	6	6	0	0	already-covered
representation	braid:7544a4908f1b322e5faee2110d15514b9c9563a96e784db6e59c67b9f9f532b9	42e43777ac6e7c504c111c605ee98900e0c2f65281064ff2374c7ff97e7de4fe	4	4	0	0	already-covered
representation	braid:fd6152206c9c9fad5f4e09c8bfb0472316a14408b8cacd31f7b42e6c01bd2534	ad8304d4f36980946953c6386e26e9f1a4a178b2240ef9e881de851ee8cdf968	4	4	0	0	already-covered
representation	braid:149ea6d1f85e81858d52b043c9512f9c6f51616712edc8f6415bdfd62fdb170d	bf5255576ee17a623b2bff87a638472fd96bfe3679b47ef407ab0bfb739a6a7c	5	5	0	0	already-covered
representation	braid:58adcc0f7c0a13bd90b5ea7ab367333510e7b95e9a0779d62bbba5d47ba95375	d287b18fa69dab5ed56e66626b9a15fedd25b7969a719b234e76dbf2077558ba	1	1	0	0	already-covered
representation	braid:5deef360b9ff106cd82b95fb67129a5a23dc9f4700e4c60c7b4f2b65419c5903	1bb7d7449c86fcefee75bcd59851ccf627826957810a52e93d01e4ef7e471fde	2	2	0	0	already-covered
representation	braid:cd7a604b135b6986a255212b75a6e19343a41b1f947312da10b4dde1311b68fe	4207e83cd633f43d66d4b1b39c7cf1ee5201e871fceac687cf98c1d3256c59f4	1	1	0	0	already-covered
representation	braid:7d1767cb90ba36aaa96ba2c2ad96dfef673c9550ce776887b7d98cac99958a86	4aa847c67ad94e85f8305cc3f3b67a6e9d0de3b1751d00f117422b3100817844	4	4	0	0	already-covered
representation	braid:daad6e6d52c1a61ad103c3405a6e0536ee2040b85da5079660cc407e5c443fbf	d287b18fa69dab5ed56e66626b9a15fedd25b7969a719b234e76dbf2077558ba	1	1	0	0	already-covered
representation	braid:009b3e49ef3f35e6298fc2350ab9ca87977adbb7fc2190cf304ffd8af8d39051	27fff725996be05a196b26ed7c8f89cd7deabd56083fe217601f27ca829acb96	3	3	0	0	already-covered
representation	braid:0541852528d7db28dc0d8ce343f2373952aa9cf1ea7b836794b0fb28bdc4ca19	4eae1f68d524c5528a5007e10ea0685276fa720e6ef8b43d89afe92f9157b0ad	3	3	0	0	already-covered
representation	braid:08d81faeeffe52c29d9656fab4bf95face02d46f0d6f0ff56b129bb444a59574	92597679e7c5d219deb37d51e23dc0ed8ca1c9e509dbb3c1200465d6417c4b2b	5	5	0	0	already-covered
representation	braid:13412f9996e214341023609055763e3a6c0a8fc186f795d486ecf6973f8109c4	27a756cf9017845d460288871f6157fa5069c4c3ab129203444423bdfbb8a09d	3	3	0	0	already-covered
representation	braid:139820af1783043a7e3b4455ef2f851ded42024df18c0c2c460e37b3be7fb933	71e08637a44b4087939be545f66d45aaad9cb4c9e48412668cb5cc17fafc21cd	5	5	0	0	already-covered
representation	braid:2241eb328422b2f03800888e4a45ecb6336b33fff749bc002b8717aebc4c7da7	52d50966d359a091f65adeab6ec05a81dec5f9c05af3b4b1f1a5619590b5b1aa	4	4	0	0	already-covered
representation	braid:3b1c72aaec97ecc41771ef67305954ea8fb2f468bb5cce38a8d9629677d29ccd	4947a2da3b22690b3f6fea7ee31a44395ce4535c174ee87f31d5a61aa6d8aeb4	3	3	0	0	already-covered
representation	braid:3c35d68a0cb5c19b14036c625527c39cec4887794939470a2f7dc4606031b364	465caa9e222574d4367af765e9aa575af63d3e45faa40b5f5c9abdd884dfc199	4	4	0	0	already-covered
representation	braid:5c4879910fa6f2aaec1f70f9caee6ef6dbca81a74aa7827b52b3898111c1148f	574278ca7af9d5a64cbf6d93c0742ad5bf4d403e44625ee214e3c8ecfea6178f	3	3	0	0	already-covered
representation	braid:75dc8bd223d2bf89c1c71aac36a33dfdb5cfc113269f1e2b17e825019a84ab5d	8852f95bad256cc46bf08438ea438b848d62f108508325a70752363ef680a709	6	6	0	0	already-covered
representation	braid:79b8c6ec4462f6422f72f2cb896bb816ffd6327795e0f5ff19714059e3b58bc9	510ca985bac4103612396f0eee6af6cd63a9c37f16639eb167f704bde4cc08f3	5	5	0	0	already-covered
representation	braid:79ba86684e1537bbd77083fd08fe6268aeda864a73d59ef5baa470469196b815	d8704dfb0f4c74455e7ef48343d8cdef41f2a66f5f7c94639fa07e67ac4a8991	5	5	0	0	already-covered
representation	braid:7c4d4faad1d10eb409ee97c8118aa1e725de316b448045a81194e1681d52573c	1ff1b30785d13834de933ce48e1ea7a47a3031012a1d5f42fc60cd5fc180e4c0	3	3	0	0	already-covered
representation	braid:852c9914e47d294c9981efe17980a2488da75facad7814b0468f80e3820e7edb	36ca892c2939796ef36ea4fa7001fe01e853da0fb1f1c14987347044846ae0fd	6	6	0	0	already-covered
representation	braid:8f07663571c1b9ed0a7569f9c9f6d26db722154b1d4641b66c9dc89af0172be5	cae426133abf4b2c1c73941e77b3790ce13536e1d2abea834355f94c0fb4f488	5	5	0	0	already-covered
representation	braid:8fc43fc0069f52241d2358cf203a40b34656bfa7e4cd2d7af2aa7f09d7732030	ef403a6270e100b372fe56b61912d939825f005f27146b8cc5a60f681c37dad0	3	3	0	0	already-covered
representation	braid:93086d98b620edd7f4e583600589d9ff96103250a8df789a5477e6b50a92f852	9ba53a20356c26245ebcf97d942212b4c0fc63be603f9b605eee7d85cbf0a330	3	3	0	0	already-covered
representation	braid:9acdede86b2120a50fc3036a17b339659964e0eeb248dca8e927f53983083f97	497b6c57d6cfbfac8093aefb752ea590c784da8c488fe32d977b31a7c3a8e545	6	6	0	0	already-covered
representation	braid:9b463eb8c133b57bd3dc50515e12c9ece828be752f86998a7997591dedc0771c	4199b3a83cb662e613e791431a28c716281e3624b72366a21a0a1d2e640f6d22	4	4	0	0	already-covered
representation	braid:a4afb29a33a8e775f5f46bddfecfeab46cc46eaa74198990e4fd3ac91cf2eb6c	9904de6524ba3cca4af965ab3a8faa5a8f00099625a8c95d27e117b8c43e93d9	2	2	0	0	already-covered
representation	braid:afc5727c2f48f9d4258e69646a9cc1f694283756a28c4a79244bf62d33847152	248fbc51d4f2b2267930fa00116957d5317af610dadef2111374fb9cebce6e75	4	4	0	0	already-covered
