unknotdb-bidirectional-frontier-v0
model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
limits	8	8	4	2	512	16	5	12	1
seed	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	4	5
unknotdb-frontier-manifest-v1
model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
policy_limits	8	4
scramble_limits	2	512	16	5	12	1	1
enumeration	512	1	1
attempt	ordinal	target_key	scramble_cc	scramble_program	stop_reason	stopping_key	audit_sha256	inverse_edge_program	disposition
attempt	0	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000000500000000000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	a24135e21edc8ad2d5e52dd60b50ad6bc598d065fe7d2b3f5aa0a32b0bf729cc	554b50300100000009000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0490000000000000005000000000000a004000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	1	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000000600000000000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	57a0320dcd34e6571df88e2fa7252ed5c741b0657c541f237bef426d68724327	554b503001000000080000000900000000000000090000000000000019000000000000000300000030000000090000000000100001000000000000a004000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	2	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000003100000000000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	257eaba7ae0f4bb3258368be2ec449ec7406958128c26daa3179a65a6c09ddb9	554b50300100000008000000090000000000000009000000000000002900000000000000030000003000000001000000000000a004000000000000a031000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
